port_6,port_7,port_8,port_9,port_10,port_11,port_12,port_13,port_14,port_15,port_16,port_17,port_18,port_19,port_20,port_21,port_22,port_23,port_24,port_25,port_26,port_27,port_28,port_29,port_31,port_32,time,lap_#,event_label
-22.7011924528,-23.5940886792,-23.652509434,-22.4184603774,-19.3157509434,-20.420845283,-20.3093692453,-20.0241509434,-21.5852037736,-21.1383584906,-21.0914554717,-16.9012037736,-19.8282830189,-18.5262283019,-20.3186618868,-19.9635396226,-19.7700169811,-19.4325283019,-19.8218169811,-16.1899175472,-14.0152603774,-13.6150798113,-13.2515679245,-13.6763126415,-11.1621056604,-11.9869811321,2131.7,lap_10,event_8
-23.7248924528,-24.7111886792,-25.010509434,-24.0266603774,-20.2135509434,-21.959545283,-22.1069792453,-21.5671509434,-23.1948037736,-22.6026584906,-22.6874554717,-18.2264037736,-22.3816830189,-21.7357283019,-22.4081018868,-21.3725396226,-21.7916169811,-20.5082283019,-21.0912169811,-14.9817775472,-12.1559203774,-11.8387598113,-12.0645679245,-12.0066226415,-10.1555056604,-11.3204811321,2132.0,lap_10,event_8
-23.2130924528,-24.3388886792,-24.671509434,-23.3118603774,-19.8544509434,-21.788545283,-21.3885292453,-20.8811509434,-22.8371037736,-22.9687584906,-22.5104554717,-17.7294037736,-21.3602830189,-19.7744283019,-21.3634018868,-20.1395396226,-20.1376169811,-19.6118283019,-19.8218169811,-16.8796075472,-14.3531603774,-14.5829698113,-14.6082479245,-14.3430626415,-12.5043056604,-12.9867811321,2132.4,lap_10,event_8
-21.3362924528,-22.2908886792,-22.804109434,-21.1676603774,-17.8792509434,-19.565945283,-19.4088792453,-19.1671509434,-20.5121037736,-20.2209384906,-20.0274554717,-14.7477037736,-17.2749530189,-16.0282083019,-18.0513018868,-18.0255396226,-16.8266169811,-17.0999283019,-17.6457369811,-13.5993075472,-11.4789603774,-11.5153698113,-11.0470679245,-10.6705226415,-9.14900566038,-9.15428113208,2132.7,lap_10,event_8
-23.0424924528,-24.3388886792,-24.840509434,-23.1331603774,-20.0339509434,-21.788545283,-21.3885292453,-20.8811509434,-22.6583037736,-22.0535584906,-22.1554554717,-17.8951037736,-21.1900830189,-19.9527283019,-21.3634018868,-20.8445396226,-21.0565169811,-21.2254283019,-21.6352169811,-18.0866075472,-16.3804603774,-16.0348698113,-15.9615679245,-15.8432226415,-14.3494956604,-14.6531011321,2133.0,lap_10,event_8
-24.4073924528,-25.2697886792,-25.519509434,-24.0266603774,-20.5726509434,-22.814245283,-22.2865792453,-21.7381509434,-23.0160037736,-22.7857584906,-22.5104554717,-17.3981037736,-20.5091830189,-18.7045283019,-20.8410018868,-19.9635396226,-18.8510769811,-18.8946783019,-19.2778169811,-16.8796075472,-15.1978603774,-15.0669698113,-15.1160579245,-15.1765226415,-14.3494956604,-15.6517711321,2133.3,lap_10,event_8
-22.7011924528,-23.7802886792,-23.992509434,-22.5971603774,-19.4953509434,-20.762745283,-20.4894692453,-20.5381509434,-21.7640037736,-21.8705184906,-21.2684554717,-17.3981037736,-20.1687830189,-19.4178283019,-21.1892018868,-20.6685396226,-20.6889169811,-20.3289283019,-20.9098169811,-17.9142075472,-14.3531603774,-13.7763698113,-14.4386679245,-13.8430026415,-12.0009056604,-12.8201811321,2133.6,lap_10,event_8
-23.8955924528,-24.3388886792,-24.840509434,-23.1331603774,-19.8544509434,-21.617645283,-21.3885292453,-20.8811509434,-22.4794037736,-22.6026584906,-22.1554554717,-15.9073037736,-19.4878830189,-17.9913283019,-18.7493018868,-18.2015396226,-17.9314469811,-17.4591183019,-17.2830569811,-13.5993075472,-12.1559203774,-11.1920698113,-10.7079679245,-10.6705226415,-8.98120566038,-9.65428113208,2134.0,lap_10,event_8
-22.3599924528,-23.7802886792,-23.822509434,-21.8824003774,-18.4179509434,-20.762745283,-19.7690792453,-19.3381509434,-20.3332037736,-20.5878784906,-20.0274554717,-15.7416037736,-18.1260830189,-17.0998283019,-19.2727918868,-19.2585396226,-17.9314469811,-17.6387083019,-17.8270769811,-14.1177075472,-11.9866603774,-11.3537698113,-11.5558679245,-11.1715226415,-8.47790566038,-8.48778113208,2134.3,lap_10,event_8
-21.6774924528,-22.6631886792,-22.804109434,-21.3463503774,-18.0588509434,-19.565945283,-19.4088792453,-18.8240509434,-20.3332037736,-20.0374584906,-20.0274554717,-15.0790037736,-18.4664830189,-17.2781383019,-18.7493018868,-17.8495396226,-16.8266169811,-16.5611283019,-16.5566769811,-11.6984075472,-8.77096037736,-8.44346981132,-8.67296792453,-8.16542264151,-6.80020566038,-7.65468113208,2134.6,lap_10,event_8
